Resin.Pi,Bic.Pi,Bic.Po,OH.Pi,OH.Po,acid.Pi,PME
35.53835914,56.30842792,24.50566111,461.7647815,67.26506175,193.314249,2.425150221
26.16115738,44.09727994,35.62350542,392.9263775,136.2747823,161.1381343,3.53748358
21.01417712,40.81397257,26.69086464,403.0100933,107.1408441,146.0773386,1.740385771
15.26330403,13.02874646,53.97384903,87.4772819,76.65318819,34.19662199,3.708540006
4.624663146,8.006395637,22.83722749,92.54174215,46.18055542,24.9161414,1.703102643
0.815220181,0.227258114,1.660751855,66.9716708,212.3023412,2.734315978,5.119643
0.739952275,0.222231439,1.565778715,66.65120968,217.0855557,2.688530435,3.810761
7.322157758,4.951877434,19.64725919,170.8081034,120.1867246,46.31147835,4.882572714
3.757211495,3.219924017,12.43596339,190.3680416,103.9975112,29.4145096,2.240491524
1.17810745,2.210323605,11.89648314,101.5197739,146.3409196,190.4297494,6.787132404
0.832518917,1.720214835,9.460294365,102.7472354,142.5470616,171.1855232,4.076800188
0.194225254,0.894117248,2.640499837,451.1127407,66.90135364,31.8080821,5.362712957
0.075732667,0.541125073,1.619894316,414.4787034,77.51669575,28.69713621,2.270576174
18.59469923,21.8599307,28.0678116,68.90036074,146.0166493,65.48253533,4.025012142
7.069814969,3.567691006,30.49094915,45.16187154,182.6986828,55.87824425,3.455560952
7.958821974,9.945029675,25.46361008,40.34685556,177.9558333,50.82390382,3.926663429
12.65410973,12.70677819,30.19669195,58.93337702,190.4161354,57.34649201,3.149587178
13.81542427,13.53161025,34.54545914,58.68286292,199.1328549,68.19991928,3.899951433
20.81182612,14.88291775,31.0440498,70.89927815,218.974633,63.02404882,3.89023798
34.60366,24.56461388,42.75737099,85.51103058,212.5582222,78.53960396,3.678970374
5.99728716,2.828644369,33.27625043,44.06121018,217.9075026,55.38736492,4.448761535
9.8718298,16.20516443,30.76138429,59.66124566,198.0220373,72.12099125,3.625546382
8.209951456,10.1018974,30.43544165,38.51555748,195.1090258,68.57142857,4.065080136
10.66619505,3.222366223,37.16164257,46.79838258,239.3087653,51.68700646,3.389995143
33.98007439,29.77565537,63.24806197,92.4283675,339.3745434,87.20189716,4.968431277
3.609224629,5.623311094,26.0797948,41.58015346,173.2015585,53.86020657,2.413793103
2.40962092,3.433806418,21.78393996,27.23725586,170.2812777,38.66295765,2.415007285
